[*] Running ...
[*] Dataset loaded: C:\Development\cs5491-artificial-intelligence/problems/tsp_constructive\dataset\train50_dataset.npy with 64 instances.
C:\Development\cs5491-artificial-intelligence\problems\tsp_constructive\gpt.py:19: RuntimeWarning: invalid value encountered in scalar divide
  next_node = min(scores, key=scores.get)
[*] Instance 0: 6.884555250549666
[*] Instance 1: 6.983343282154469
[*] Instance 2: 6.600511463792267
[*] Instance 3: 7.85339454614434
[*] Instance 4: 7.24238038293046
[*] Instance 5: 7.913649202974694
[*] Instance 6: 7.760487144721115
[*] Instance 7: 7.148615812639841
[*] Instance 8: 7.17309833561705
[*] Instance 9: 7.619517466029328
[*] Instance 10: 7.048757351160611
[*] Instance 11: 6.273301698323441
[*] Instance 12: 6.729607436762908
[*] Instance 13: 6.812405930115823
[*] Instance 14: 6.94059484706113
[*] Instance 15: 7.195916880215131
[*] Instance 16: 6.6927200356122265
[*] Instance 17: 5.93320293909812
[*] Instance 18: 7.488646527463597
[*] Instance 19: 6.807864526438572
[*] Instance 20: 6.073754313370789
[*] Instance 21: 6.923793102594736
[*] Instance 22: 6.53773091114631
[*] Instance 23: 7.534454255258446
[*] Instance 24: 6.382598939035775
[*] Instance 25: 6.723047111109856
[*] Instance 26: 6.756219809974256
[*] Instance 27: 6.891472884223479
[*] Instance 28: 6.867775067755048
[*] Instance 29: 6.663647346678426
[*] Instance 30: 7.515585489475463
[*] Instance 31: 6.821924841908886
[*] Instance 32: 6.352450204309664
[*] Instance 33: 6.505896115728444
[*] Instance 34: 6.49078045656224
[*] Instance 35: 6.8772851015536975
[*] Instance 36: 7.03135258122198
[*] Instance 37: 7.163584745642233
[*] Instance 38: 6.152627325112213
[*] Instance 39: 7.520817873216611
[*] Instance 40: 6.835670717459474
[*] Instance 41: 6.9292730137709
[*] Instance 42: 6.964511780657088
[*] Instance 43: 7.03448238395591
[*] Instance 44: 6.9828293979823215
[*] Instance 45: 6.693169071828382
[*] Instance 46: 6.912764022172532
[*] Instance 47: 7.091374524995365
[*] Instance 48: 6.827356800868562
[*] Instance 49: 6.689836307520141
[*] Instance 50: 7.6502454307789245
[*] Instance 51: 7.374972116756499
[*] Instance 52: 7.327740940723595
[*] Instance 53: 6.836058623792923
[*] Instance 54: 7.289244602758398
[*] Instance 55: 7.124441756261891
[*] Instance 56: 7.102533910472498
[*] Instance 57: 6.96102128185163
[*] Instance 58: 6.498768317157277
[*] Instance 59: 6.320648748953913
[*] Instance 60: 7.505586552849738
[*] Instance 61: 7.220124078913785
[*] Instance 62: 6.737089461756034
[*] Instance 63: 7.142126353536735
[*] Average:
6.95220687083528
