[*] Running ...
[*] Dataset loaded: C:\Development\cs5491-artificial-intelligence/problems/tsp_constructive\dataset\train50_dataset.npy with 64 instances.
C:\Development\cs5491-artificial-intelligence\problems\tsp_constructive\gpt.py:10: RuntimeWarning: invalid value encountered in divide
  for node in unvisited_nodes:
[*] Instance 0: 5.80885802519484
[*] Instance 1: 6.472382924890509
[*] Instance 2: 6.69916407704084
[*] Instance 3: 6.098605372244818
[*] Instance 4: 6.097107458055358
[*] Instance 5: 6.7343398493443
[*] Instance 6: 7.078358292804497
[*] Instance 7: 6.741605292981872
[*] Instance 8: 6.366162869360255
[*] Instance 9: 6.697868846841427
[*] Instance 10: 6.180198300837549
[*] Instance 11: 5.275994949938374
[*] Instance 12: 6.875262526084224
[*] Instance 13: 5.979016071215301
[*] Instance 14: 6.377522587867925
[*] Instance 15: 6.382274066542409
[*] Instance 16: 5.864012979615257
[*] Instance 17: 5.69769427611228
[*] Instance 18: 6.635600795066017
[*] Instance 19: 6.028410270668267
[*] Instance 20: 5.781608386104335
[*] Instance 21: 6.49739325074171
[*] Instance 22: 6.426078091088193
[*] Instance 23: 5.944277496522894
[*] Instance 24: 6.31416143085315
[*] Instance 25: 6.867844650703405
[*] Instance 26: 6.121506067143249
[*] Instance 27: 6.041521667184634
[*] Instance 28: 6.327102429119795
[*] Instance 29: 7.022179512634863
[*] Instance 30: 6.596811917250977
[*] Instance 31: 6.286901550998696
[*] Instance 32: 6.374934282811729
[*] Instance 33: 6.403770851318971
[*] Instance 34: 5.8956384601349
[*] Instance 35: 6.600741000046468
[*] Instance 36: 6.278564500540296
[*] Instance 37: 7.013344071865847
[*] Instance 38: 6.005772659355158
[*] Instance 39: 6.52377417214396
[*] Instance 40: 5.889984755917149
[*] Instance 41: 5.962711735780427
[*] Instance 42: 5.884128939961838
[*] Instance 43: 6.853750594726641
[*] Instance 44: 6.26095559756698
[*] Instance 45: 6.655989983085232
[*] Instance 46: 6.268672206401681
[*] Instance 47: 5.938908125861018
[*] Instance 48: 6.0698768737593465
[*] Instance 49: 6.347987673456334
[*] Instance 50: 6.276475652540033
[*] Instance 51: 6.298849174428497
[*] Instance 52: 6.556191437047335
[*] Instance 53: 5.75460768995945
[*] Instance 54: 5.882834839447904
[*] Instance 55: 6.236461828900386
[*] Instance 56: 6.490928069631457
[*] Instance 57: 6.522194550837508
[*] Instance 58: 6.330754268136344
[*] Instance 59: 6.0270914431549185
[*] Instance 60: 6.587863485986556
[*] Instance 61: 5.765199284378599
[*] Instance 62: 6.441988569438018
[*] Instance 63: 5.789389388783163
[*] Average:
6.28919003828838
